timestamp,open,high,low,close,volume,symbol
1769385600000,86627.60000000,86633.90000000,86624.50000000,86624.50000000,1936.64400000,BTCUSDT
1769385660000,86624.50000000,86655.00000000,86624.50000000,86655.00000000,3316.03800000,BTCUSDT
1769385720000,86645.10000000,86724.70000000,86628.80000000,86724.70000000,6976.78100000,BTCUSDT
1769385780000,86724.70000000,86765.30000000,86681.70000000,86765.30000000,6777.22700000,BTCUSDT
1769385840000,86764.80000000,86765.30000000,86731.50000000,86731.50000000,19.69800000,BTCUSDT
1769385900000,86731.50000000,86808.50000000,86726.60000000,86799.30000000,4769.25100000,BTCUSDT
1769385960000,86799.30000000,86885.40000000,86797.20000000,86885.40000000,11193.84600000,BTCUSDT
1769386020000,86885.40000000,86900.10000000,86883.70000000,86883.70000000,2129.22900000,BTCUSDT
1769386080000,86883.70000000,86910.40000000,86724.60000000,86910.40000000,6953.10300000,BTCUSDT
1769386140000,86910.40000000,86991.40000000,86905.20000000,86980.40000000,7285.82200000,BTCUSDT
1769386200000,86980.40000000,87000.00000000,86922.30000000,86946.10000000,1613.14400000,BTCUSDT
1769386260000,86946.10000000,87000.00000000,86946.00000000,86999.70000000,3074.43200000,BTCUSDT
1769386320000,87000.00000000,87000.10000000,86980.70000000,86980.70000000,502.12700000,BTCUSDT
1769386380000,86980.70000000,87000.10000000,86956.30000000,86990.30000000,2.97000000,BTCUSDT
1769386440000,86990.30000000,87000.10000000,86979.30000000,87000.10000000,282.53600000,BTCUSDT
1769386500000,87000.10000000,87007.00000000,86980.00000000,86980.00000000,1038.93400000,BTCUSDT
1769386560000,86980.00000000,87055.30000000,86980.00000000,87055.30000000,7168.71600000,BTCUSDT
1769386620000,87055.30000000,87055.30000000,86935.60000000,86943.60000000,2351.24100000,BTCUSDT
1769386680000,86943.70000000,86959.20000000,86930.00000000,86959.20000000,1784.49300000,BTCUSDT
1769386740000,86959.20000000,87022.60000000,86930.00000000,86978.50000000,1162.72600000,BTCUSDT
1769386800000,86978.50000000,87074.70000000,86968.30000000,87068.10000000,3081.51800000,BTCUSDT
1769386860000,87068.10000000,87074.80000000,86983.90000000,86983.90000000,726.04900000,BTCUSDT
1769386920000,86983.90000000,87020.00000000,86969.80000000,86983.30000000,2550.18000000,BTCUSDT
1769386980000,86983.30000000,86983.80000000,86927.00000000,86927.30000000,1722.70800000,BTCUSDT
1769387040000,86927.30000000,86973.80000000,86927.00000000,86973.80000000,3.11300000,BTCUSDT
1769387100000,86973.80000000,86977.10000000,86914.80000000,86923.30000000,1422.87000000,BTCUSDT
1769387160000,86923.30000000,86924.60000000,86892.50000000,86892.50000000,5614.11500000,BTCUSDT
1769387220000,86892.50000000,86895.00000000,86769.10000000,86781.70000000,13119.25600000,BTCUSDT
1769387280000,86781.70000000,86847.20000000,86769.10000000,86839.50000000,2.17000000,BTCUSDT
1769387340000,86839.60000000,86845.40000000,86785.00000000,86808.70000000,1.48900000,BTCUSDT
1769387400000,86785.00000000,86832.30000000,86769.10000000,86805.60000000,24.69000000,BTCUSDT
1769387460000,86805.60000000,86805.60000000,86726.20000000,86726.20000000,7514.64500000,BTCUSDT
1769387520000,86726.20000000,86726.20000000,86680.00000000,86680.00000000,7081.21000000,BTCUSDT
1769387580000,86680.00000000,86685.20000000,86678.00000000,86685.20000000,921.65400000,BTCUSDT
1769387640000,86685.20000000,86685.20000000,86666.50000000,86666.50000000,3451.99200000,BTCUSDT
1769387700000,86666.50000000,86702.00000000,86659.70000000,86697.10000000,3950.50300000,BTCUSDT
1769387760000,86697.00000000,86712.50000000,86678.10000000,86706.60000000,1091.66700000,BTCUSDT
1769387820000,86706.60000000,86717.60000000,86706.60000000,86711.60000000,2000.16800000,BTCUSDT
1769387880000,86711.60000000,86731.30000000,86711.60000000,86731.30000000,1831.68100000,BTCUSDT
1769387940000,86731.30000000,86732.00000000,86712.00000000,86712.00000000,1070.77600000,BTCUSDT
1769388000000,86712.00000000,86731.60000000,86710.50000000,86723.60000000,1131.36100000,BTCUSDT
1769388060000,86723.60000000,86731.60000000,86702.20000000,86702.20000000,1273.77200000,BTCUSDT
1769388120000,86702.20000000,86707.90000000,86642.20000000,86642.20000000,6480.29200000,BTCUSDT
1769388180000,86642.20000000,86657.90000000,86589.80000000,86602.50000000,5204.71500000,BTCUSDT
1769388240000,86602.50000000,86611.10000000,86589.80000000,86611.10000000,5.48700000,BTCUSDT
1769388300000,86596.50000000,86611.10000000,86580.10000000,86580.10000000,2775.30700000,BTCUSDT
1769388360000,86580.10000000,86580.90000000,86472.60000000,86472.60000000,11814.16800000,BTCUSDT
1769388420000,86472.70000000,86597.00000000,86463.30000000,86597.00000000,593.25600000,BTCUSDT
1769388480000,86595.10000000,86650.50000000,86595.10000000,86643.60000000,2162.60100000,BTCUSDT
1769388540000,86643.60000000,86659.30000000,86643.10000000,86659.30000000,665.06100000,BTCUSDT
1769388600000,86659.50000000,86828.90000000,86649.10000000,86828.90000000,12854.19700000,BTCUSDT
1769388660000,86828.90000000,86847.00000000,86828.50000000,86847.00000000,3326.47900000,BTCUSDT
1769388720000,86847.00000000,86878.80000000,86832.20000000,86866.20000000,6831.51900000,BTCUSDT
1769388780000,86866.20000000,86872.50000000,86831.70000000,86831.70000000,1046.27700000,BTCUSDT
1769388840000,86831.70000000,86838.60000000,86745.60000000,86754.40000000,5315.84700000,BTCUSDT
1769388900000,86754.40000000,86795.20000000,86745.60000000,86778.00000000,2690.08100000,BTCUSDT
1769388960000,86778.00000000,86809.60000000,86739.10000000,86809.60000000,2162.98900000,BTCUSDT
1769389020000,86810.10000000,86811.70000000,86782.40000000,86782.40000000,6.05500000,BTCUSDT
1769389080000,86781.50000000,86800.10000000,86777.90000000,86795.00000000,3.21700000,BTCUSDT
