timestamp,open,high,low,close,volume,symbol
1766816400000,2926.80000000,2927.28000000,2926.62000000,2927.16000000,2576.22000000,ETHUSDT
1766816700000,2927.16000000,2927.54000000,2926.62000000,2926.63000000,445.41800000,ETHUSDT
1766817000000,2927.18000000,2927.19000000,2926.62000000,2927.02000000,144.04900000,ETHUSDT
1766817300000,2927.03000000,2927.38000000,2926.36000000,2927.16000000,25823.26800000,ETHUSDT
1766817600000,2927.16000000,2929.49000000,2927.15000000,2928.43000000,90379.45000000,ETHUSDT
1766817900000,2928.42000000,2928.43000000,2927.30000000,2927.30000000,96784.77800000,ETHUSDT
1766818200000,2927.30000000,2927.44000000,2927.22000000,2927.23000000,23044.10900000,ETHUSDT
1766818500000,2927.23000000,2928.41000000,2927.22000000,2928.41000000,163.00000000,ETHUSDT
1766818800000,2928.41000000,2929.85000000,2927.22000000,2929.80000000,30847.33100000,ETHUSDT
1766819100000,2929.80000000,2930.72000000,2929.80000000,2930.55000000,82073.62000000,ETHUSDT
1766819400000,2930.71000000,2931.22000000,2930.55000000,2931.02000000,51885.29800000,ETHUSDT
1766819700000,2930.98000000,2931.37000000,2930.90000000,2930.90000000,13448.58500000,ETHUSDT
1766820000000,2930.90000000,2935.22000000,2930.90000000,2935.22000000,264913.82900000,ETHUSDT
1766820300000,2935.23000000,2935.98000000,2934.13000000,2935.97000000,36433.09600000,ETHUSDT
1766820600000,2935.97000000,2935.98000000,2932.80000000,2932.80000000,23248.88600000,ETHUSDT
1766820900000,2932.80000000,2932.81000000,2931.42000000,2931.54000000,99978.48200000,ETHUSDT
1766821200000,2931.54000000,2931.56000000,2931.12000000,2931.50000000,67731.78900000,ETHUSDT
1766821500000,2931.50000000,2932.00000000,2931.50000000,2931.99000000,23676.32100000,ETHUSDT
1766821800000,2932.00000000,2932.29000000,2931.60000000,2931.72000000,39584.45400000,ETHUSDT
1766822100000,2931.72000000,2931.75000000,2931.47000000,2931.50000000,12312.48700000,ETHUSDT
1766822400000,2931.47000000,2933.12000000,2931.47000000,2933.12000000,94164.74800000,ETHUSDT
1766822700000,2933.12000000,2934.19000000,2933.11000000,2934.06000000,79706.76900000,ETHUSDT
1766823000000,2934.07000000,2934.07000000,2932.38000000,2932.63000000,65272.15000000,ETHUSDT
1766823300000,2932.63000000,2933.25000000,2932.27000000,2933.25000000,6222.80300000,ETHUSDT
1766823600000,2933.25000000,2934.63000000,2932.27000000,2934.63000000,13220.36800000,ETHUSDT
1766823900000,2934.63000000,2935.42000000,2934.63000000,2935.33000000,98017.16100000,ETHUSDT
1766824200000,2935.33000000,2935.45000000,2935.33000000,2935.33000000,3266.75300000,ETHUSDT
1766824500000,2935.33000000,2935.45000000,2933.94000000,2934.23000000,240.00600000,ETHUSDT
1766824800000,2934.22000000,2935.45000000,2933.53000000,2934.00000000,19193.72100000,ETHUSDT
1766825100000,2933.70000000,2934.02000000,2932.98000000,2933.26000000,98092.26400000,ETHUSDT
1766825400000,2933.26000000,2933.37000000,2932.98000000,2932.99000000,266.11900000,ETHUSDT
1766825700000,2932.99000000,2933.00000000,2932.68000000,2932.68000000,12964.11400000,ETHUSDT
1766826000000,2932.68000000,2933.45000000,2932.67000000,2933.45000000,31158.92500000,ETHUSDT
1766826300000,2933.45000000,2934.35000000,2933.42000000,2933.99000000,97392.04000000,ETHUSDT
1766826600000,2933.99000000,2934.84000000,2933.99000000,2934.84000000,73119.73200000,ETHUSDT
1766826900000,2934.83000000,2937.32000000,2934.83000000,2934.96000000,242145.18400000,ETHUSDT
1766827200000,2934.96000000,2935.65000000,2934.49000000,2934.53000000,37392.05700000,ETHUSDT
1766827500000,2934.53000000,2934.58000000,2930.84000000,2931.00000000,197174.51100000,ETHUSDT
1766827800000,2931.00000000,2932.69000000,2930.84000000,2932.25000000,356.96800000,ETHUSDT
1766828100000,2932.25000000,2933.68000000,2930.85000000,2933.46000000,24555.87700000,ETHUSDT
1766828400000,2933.46000000,2934.15000000,2933.26000000,2933.41000000,41057.69800000,ETHUSDT
1766828700000,2933.40000000,2933.64000000,2933.11000000,2933.54000000,14664.80600000,ETHUSDT
1766829000000,2933.55000000,2933.64000000,2932.85000000,2933.19000000,32726.81500000,ETHUSDT
1766829300000,2933.19000000,2933.70000000,2932.57000000,2933.68000000,46432.33800000,ETHUSDT
1766829600000,2933.68000000,2933.68000000,2932.57000000,2932.57000000,231.68200000,ETHUSDT
1766829900000,2932.58000000,2933.20000000,2932.26000000,2933.16000000,52910.97300000,ETHUSDT
1766830200000,2933.16000000,2933.96000000,2931.26000000,2931.26000000,59154.76200000,ETHUSDT
1766830500000,2931.26000000,2932.97000000,2930.50000000,2932.96000000,120986.79700000,ETHUSDT
1766830800000,2932.91000000,2932.97000000,2931.24000000,2932.26000000,207.54400000,ETHUSDT
1766831100000,2932.26000000,2932.97000000,2930.20000000,2930.20000000,56334.66200000,ETHUSDT
1766831400000,2930.65000000,2930.66000000,2928.77000000,2928.77000000,88952.46200000,ETHUSDT
1766831700000,2928.77000000,2928.97000000,2923.64000000,2923.64000000,243060.27700000,ETHUSDT
1766832000000,2923.65000000,2923.90000000,2919.31000000,2923.02000000,247360.93700000,ETHUSDT
1766832300000,2923.16000000,2924.67000000,2922.98000000,2924.58000000,78935.79300000,ETHUSDT
1766832600000,2924.58000000,2925.38000000,2923.45000000,2925.38000000,59828.85800000,ETHUSDT
1766832900000,2925.38000000,2925.70000000,2924.92000000,2925.69000000,31900.64100000,ETHUSDT
1766833200000,2925.69000000,2926.15000000,2925.69000000,2925.96000000,24055.52600000,ETHUSDT
1766833500000,2925.96000000,2926.14000000,2921.85000000,2925.16000000,63481.46600000,ETHUSDT
1766833800000,2925.16000000,2925.29000000,2924.10000000,2925.29000000,27746.19900000,ETHUSDT
1766834100000,2925.28000000,2925.29000000,2924.77000000,2924.79000000,354.06200000,ETHUSDT
1766834400000,2924.79000000,2927.73000000,2924.78000000,2927.42000000,152929.17100000,ETHUSDT
1766834700000,2927.42000000,2927.73000000,2925.90000000,2926.41000000,168.04100000,ETHUSDT
1766835000000,2926.41000000,2928.69000000,2926.41000000,2928.57000000,69685.76400000,ETHUSDT
1766835300000,2928.57000000,2928.69000000,2927.31000000,2928.50000000,369.06600000,ETHUSDT
1766835600000,2928.50000000,2928.69000000,2927.93000000,2927.95000000,561.97500000,ETHUSDT
1766835900000,2927.97000000,2928.69000000,2927.64000000,2927.99000000,496.09700000,ETHUSDT
1766836200000,2928.68000000,2931.56000000,2927.98000000,2930.23000000,159809.98700000,ETHUSDT
1766836500000,2930.23000000,2931.00000000,2929.34000000,2929.64000000,170.29300000,ETHUSDT
1766836800000,2929.64000000,2931.56000000,2929.60000000,2929.60000000,586.37000000,ETHUSDT
1766837100000,2929.60000000,2931.56000000,2929.60000000,2930.76000000,219.26100000,ETHUSDT
1766837400000,2930.76000000,2931.56000000,2928.34000000,2928.96000000,55484.58300000,ETHUSDT
1766837700000,2928.96000000,2928.96000000,2927.95000000,2928.27000000,13488.15700000,ETHUSDT
1766838000000,2928.27000000,2928.98000000,2928.25000000,2928.98000000,3445.34000000,ETHUSDT
1766838300000,2928.98000000,2929.74000000,2928.40000000,2929.73000000,5095.53600000,ETHUSDT
1766838600000,2929.73000000,2930.99000000,2929.72000000,2930.99000000,100020.67600000,ETHUSDT
1766838900000,2930.99000000,2931.50000000,2930.87000000,2930.95000000,14211.72200000,ETHUSDT
1766839200000,2930.95000000,2932.00000000,2930.94000000,2932.00000000,48551.22700000,ETHUSDT
1766839500000,2931.99000000,2932.03000000,2931.52000000,2931.53000000,315.90700000,ETHUSDT
1766839800000,2931.53000000,2932.03000000,2931.02000000,2931.16000000,407.34000000,ETHUSDT
1766840100000,2931.16000000,2932.03000000,2930.96000000,2930.97000000,230.14500000,ETHUSDT
1766840400000,2930.97000000,2932.03000000,2928.86000000,2928.87000000,57759.57600000,ETHUSDT
1766840700000,2928.86000000,2928.87000000,2927.16000000,2928.09000000,182550.78200000,ETHUSDT
1766841000000,2927.51000000,2928.50000000,2927.50000000,2928.49000000,2998.77100000,ETHUSDT
1766841300000,2928.49000000,2928.88000000,2926.90000000,2926.91000000,91707.35300000,ETHUSDT
1766841600000,2926.91000000,2927.60000000,2925.84000000,2926.02000000,112290.04800000,ETHUSDT
1766841900000,2926.02000000,2926.55000000,2925.74000000,2925.75000000,13454.89700000,ETHUSDT
1766842200000,2925.75000000,2926.54000000,2925.37000000,2925.44000000,55939.84500000,ETHUSDT
1766842500000,2925.44000000,2930.71000000,2925.37000000,2930.59000000,235437.96900000,ETHUSDT
