timestamp,open,high,low,close,volume,symbol
1766935260000,87951.10000000,87980.80000000,87924.20000000,87926.90000000,5137.44900000,BTCUSDT
1766935440000,87926.90000000,88000.00000000,87914.60000000,87918.60000000,6295.01800000,BTCUSDT
1766935620000,87918.60000000,87956.60000000,87914.40000000,87928.90000000,8342.96600000,BTCUSDT
1766935800000,87928.90000000,88027.00000000,87893.80000000,87894.40000000,4518.08000000,BTCUSDT
1766935980000,87894.40000000,87897.30000000,87870.70000000,87870.70000000,34.83600000,BTCUSDT
1766936160000,87870.70000000,88027.00000000,87870.70000000,87881.20000000,2996.29800000,BTCUSDT
1766936340000,87881.20000000,87899.90000000,87881.20000000,87899.00000000,2667.35800000,BTCUSDT
1766936520000,87899.80000000,87992.20000000,87884.00000000,87884.00000000,4807.72700000,BTCUSDT
1766936700000,87884.00000000,88027.00000000,87883.90000000,87898.90000000,8497.11100000,BTCUSDT
1766936880000,87898.90000000,88027.00000000,87898.60000000,87910.90000000,7561.94200000,BTCUSDT
1766937060000,87910.90000000,88030.00000000,87857.40000000,87857.40000000,15992.28700000,BTCUSDT
1766937240000,87857.40000000,87857.40000000,87821.40000000,87832.10000000,3107.20800000,BTCUSDT
1766937420000,87832.10000000,87833.60000000,87671.10000000,87797.70000000,2105.30100000,BTCUSDT
1766937600000,87805.60000000,87833.50000000,87697.10000000,87794.60000000,9498.52300000,BTCUSDT
1766937780000,87794.60000000,87833.50000000,87700.00000000,87833.50000000,2301.55000000,BTCUSDT
1766937960000,87833.50000000,87833.60000000,87822.80000000,87833.60000000,282.88300000,BTCUSDT
1766938140000,87833.60000000,87836.10000000,87822.80000000,87835.50000000,450.70100000,BTCUSDT
1766938320000,87835.60000000,87836.10000000,87704.00000000,87832.20000000,4328.83200000,BTCUSDT
1766938500000,87832.20000000,87834.80000000,87812.20000000,87828.00000000,27.86000000,BTCUSDT
1766938680000,87828.00000000,87842.70000000,87812.20000000,87842.70000000,20.16200000,BTCUSDT
1766938860000,87842.70000000,87842.70000000,87812.20000000,87840.00000000,46.71500000,BTCUSDT
1766939040000,87840.00000000,87842.70000000,87662.00000000,87767.40000000,15553.79100000,BTCUSDT
1766939220000,87767.40000000,87767.80000000,87723.90000000,87749.20000000,7410.15200000,BTCUSDT
1766939400000,87749.20000000,87774.20000000,87749.20000000,87774.00000000,98.77700000,BTCUSDT
1766939580000,87774.00000000,87784.40000000,87749.20000000,87771.20000000,10.43000000,BTCUSDT
1766939760000,87771.20000000,87804.20000000,87650.00000000,87778.50000000,7781.32300000,BTCUSDT
1766939940000,87774.30000000,87804.70000000,87680.00000000,87789.40000000,3845.17300000,BTCUSDT
1766940120000,87789.40000000,87793.30000000,87687.00000000,87788.10000000,9015.16400000,BTCUSDT
1766940300000,87788.10000000,87794.90000000,87650.00000000,87794.40000000,9988.38000000,BTCUSDT
1766940480000,87794.80000000,87795.10000000,87639.60000000,87795.10000000,5250.51200000,BTCUSDT
1766940660000,87795.10000000,87801.80000000,87639.60000000,87801.60000000,5037.28300000,BTCUSDT
1766940840000,87801.60000000,87801.80000000,87671.00000000,87786.60000000,3025.40300000,BTCUSDT
1766941020000,87786.40000000,87786.70000000,87765.50000000,87780.10000000,4686.12200000,BTCUSDT
1766941200000,87780.10000000,87795.20000000,87650.00000000,87795.20000000,4317.73300000,BTCUSDT
1766941380000,87795.10000000,87796.20000000,87670.00000000,87796.10000000,1786.41500000,BTCUSDT
1766941560000,87795.10000000,87796.40000000,87675.00000000,87796.40000000,1806.95000000,BTCUSDT
1766941740000,87796.40000000,87801.00000000,87796.20000000,87800.00000000,11.85100000,BTCUSDT
1766941920000,87800.00000000,87842.70000000,87796.20000000,87842.70000000,20.14100000,BTCUSDT
1766942100000,87842.70000000,88025.10000000,87796.20000000,87894.00000000,9977.47400000,BTCUSDT
1766942280000,87894.00000000,87997.00000000,87857.40000000,87857.50000000,12638.70700000,BTCUSDT
1766942460000,87857.50000000,88015.00000000,87857.40000000,87871.30000000,6478.79700000,BTCUSDT
1766942640000,87871.30000000,87883.00000000,87861.60000000,87861.60000000,612.68300000,BTCUSDT
1766942820000,87861.60000000,87882.90000000,87855.80000000,87855.80000000,170.12100000,BTCUSDT
1766943000000,87855.80000000,87855.90000000,87823.90000000,87823.90000000,2678.01500000,BTCUSDT
1766943180000,87823.90000000,87838.50000000,87600.00000000,87785.70000000,15244.25600000,BTCUSDT
1766943360000,87785.70000000,87791.50000000,87600.00000000,87791.50000000,4559.62600000,BTCUSDT
1766943540000,87791.50000000,87792.70000000,87589.00000000,87782.80000000,7162.76900000,BTCUSDT
1766943720000,87782.80000000,87792.70000000,87600.00000000,87782.80000000,5473.51500000,BTCUSDT
1766943900000,87782.80000000,87793.10000000,87620.00000000,87785.60000000,7402.73800000,BTCUSDT
1766944080000,87785.90000000,87786.50000000,87640.00000000,87769.80000000,6481.95300000,BTCUSDT
1766944260000,87769.80000000,87770.60000000,87755.40000000,87755.50000000,632.01200000,BTCUSDT
1766944440000,87755.50000000,87755.50000000,87729.90000000,87730.00000000,440.07200000,BTCUSDT
1766944620000,87730.00000000,87734.20000000,87729.90000000,87730.20000000,27.20300000,BTCUSDT
1766944800000,87730.10000000,87735.70000000,87664.30000000,87702.30000000,2125.63300000,BTCUSDT
1766944980000,87700.40000000,87735.70000000,87605.50000000,87650.60000000,8763.60800000,BTCUSDT
1766945160000,87650.60000000,87735.80000000,87622.00000000,87639.30000000,2201.59900000,BTCUSDT
1766945340000,87639.30000000,87665.40000000,87611.00000000,87658.10000000,1795.71100000,BTCUSDT
1766945520000,87655.50000000,87735.80000000,87611.00000000,87648.90000000,7277.86600000,BTCUSDT
1766945700000,87648.90000000,87668.60000000,87524.00000000,87571.60000000,7923.61400000,BTCUSDT
1766945880000,87569.90000000,87670.00000000,87569.70000000,87601.90000000,5465.46200000,BTCUSDT
1766946060000,87601.90000000,87729.80000000,87601.60000000,87655.40000000,14228.06800000,BTCUSDT
1766946240000,87655.40000000,87681.80000000,87631.90000000,87665.90000000,9341.94800000,BTCUSDT
1766946420000,87665.90000000,87725.00000000,87661.70000000,87690.80000000,11519.90900000,BTCUSDT
1766946600000,87690.80000000,87721.30000000,87664.00000000,87690.80000000,12254.40300000,BTCUSDT
1766946780000,87693.70000000,87724.00000000,87664.00000000,87709.50000000,6469.60100000,BTCUSDT
1766946960000,87709.50000000,87722.40000000,87663.60000000,87704.50000000,9638.00700000,BTCUSDT
1766947140000,87704.50000000,87720.40000000,87662.80000000,87707.70000000,9363.28900000,BTCUSDT
1766947320000,87707.70000000,87709.70000000,87662.80000000,87680.10000000,8759.38400000,BTCUSDT
1766947500000,87680.10000000,87719.60000000,87582.80000000,87591.00000000,12846.97500000,BTCUSDT
1766947680000,87591.00000000,87612.50000000,87582.80000000,87612.50000000,15.82100000,BTCUSDT
1766947860000,87612.50000000,87720.60000000,87580.20000000,87582.90000000,4456.40300000,BTCUSDT
1766948040000,87582.90000000,87587.00000000,87539.30000000,87585.60000000,11.82000000,BTCUSDT
1766948220000,87585.60000000,87587.00000000,87572.60000000,87585.60000000,11.87300000,BTCUSDT
1766948400000,87585.60000000,87604.20000000,87581.10000000,87604.10000000,4612.94300000,BTCUSDT
1766948580000,87604.10000000,87604.20000000,87000.00000000,87496.90000000,5241.35100000,BTCUSDT
1766948760000,87523.40000000,87564.20000000,87496.80000000,87564.20000000,7.87600000,BTCUSDT
1766948940000,87564.20000000,87672.00000000,87496.80000000,87641.90000000,12079.36200000,BTCUSDT
1766949120000,87641.90000000,87754.00000000,87620.50000000,87643.30000000,11906.78700000,BTCUSDT
1766949300000,87643.30000000,87656.30000000,87614.50000000,87614.60000000,2344.78100000,BTCUSDT
1766949480000,87614.60000000,87754.00000000,87587.10000000,87587.20000000,4482.46000000,BTCUSDT
1766949660000,87587.10000000,87607.20000000,87551.10000000,87551.10000000,2223.58100000,BTCUSDT
1766949840000,87551.10000000,87551.70000000,87197.00000000,87501.70000000,9251.83900000,BTCUSDT
1766950020000,87501.70000000,87501.70000000,87405.10000000,87485.40000000,5618.39700000,BTCUSDT
1766950200000,87485.40000000,87580.50000000,87480.00000000,87580.50000000,2972.35500000,BTCUSDT
1766950380000,87580.50000000,87622.10000000,87572.10000000,87607.00000000,7037.46500000,BTCUSDT
1766950560000,87607.00000000,87754.00000000,87572.10000000,87587.70000000,5319.94800000,BTCUSDT
1766950740000,87587.70000000,87754.00000000,87587.50000000,87598.80000000,9875.48900000,BTCUSDT
1766950920000,87598.80000000,87619.00000000,87587.50000000,87587.50000000,2954.05400000,BTCUSDT
1766951100000,87587.50000000,87614.10000000,87572.10000000,87581.70000000,1706.11100000,BTCUSDT
1766951280000,87581.70000000,87754.00000000,87581.60000000,87584.00000000,4985.05600000,BTCUSDT
1766951460000,87583.90000000,87584.20000000,87544.30000000,87544.40000000,25.05600000,BTCUSDT
1766951640000,87546.60000000,87546.70000000,87318.70000000,87514.60000000,1175.79800000,BTCUSDT
1766951820000,87522.30000000,87546.80000000,87352.20000000,87518.00000000,4142.58500000,BTCUSDT
1766952000000,87518.00000000,87546.80000000,87498.80000000,87506.80000000,84.67400000,BTCUSDT
1766952180000,87506.80000000,87508.80000000,87431.10000000,87462.40000000,4234.65300000,BTCUSDT
1766952360000,87462.40000000,87546.60000000,87382.40000000,87546.60000000,3095.80100000,BTCUSDT
1766952540000,87546.70000000,87546.70000000,87250.00000000,87466.80000000,3451.23700000,BTCUSDT
1766952720000,87466.80000000,87546.70000000,87250.00000000,87482.20000000,7790.86500000,BTCUSDT
1766952900000,87482.20000000,87546.80000000,87250.00000000,87532.50000000,1744.27100000,BTCUSDT
1766953080000,87532.50000000,87554.80000000,87511.50000000,87537.40000000,15.74700000,BTCUSDT
1766953260000,87537.40000000,87554.80000000,87534.10000000,87548.00000000,3.72800000,BTCUSDT
1766953440000,87548.00000000,87554.80000000,87529.80000000,87537.90000000,43.79200000,BTCUSDT
1766953620000,87537.90000000,87554.80000000,87529.80000000,87545.70000000,11.35800000,BTCUSDT
1766953800000,87545.70000000,87562.00000000,87529.80000000,87562.00000000,12.08600000,BTCUSDT
1766953980000,87562.00000000,87754.00000000,87529.80000000,87559.60000000,1885.73500000,BTCUSDT
1766954160000,87559.60000000,87559.60000000,87529.80000000,87545.00000000,13.97000000,BTCUSDT
1766954340000,87545.00000000,87718.10000000,87529.80000000,87570.80000000,1450.61800000,BTCUSDT
1766954520000,87570.90000000,87700.00000000,87529.80000000,87577.00000000,4647.16400000,BTCUSDT
1766954700000,87577.00000000,87706.90000000,87529.80000000,87550.10000000,808.64300000,BTCUSDT
